,OPEN,HIGH,LOW,CLOSE,VOLUME
0,0.4874,0.4897,0.4874,0.4886,311541.5
1,0.4886,0.4893,0.4875,0.4883,118432.6
2,0.4884,0.4908,0.4884,0.4896,197135.4
3,0.4895,0.4907,0.4878,0.4886,233097.1
4,0.4886,0.4892,0.4862,0.4862,145424.9
5,0.4861,0.4863,0.4832,0.4838,361327.7
6,0.4839,0.4843,0.4824,0.4834,910778.0
7,0.4834,0.4851,0.4827,0.4851,513538.2
8,0.4849,0.4852,0.4827,0.4829,398063.6
9,0.4828,0.4828,0.4819,0.4827,193706.3
10,0.4827,0.4847,0.482,0.4845,623968.2
11,0.4844,0.485,0.4824,0.4829,372097.8
12,0.4829,0.4829,0.4805,0.4815,391573.2
13,0.4815,0.4857,0.4811,0.4848,416086.1
14,0.4848,0.4864,0.482,0.4822,251375.0
15,0.4821,0.4829,0.481,0.4812,145569.6
16,0.4814,0.4815,0.48,0.4804,155062.3
17,0.4805,0.4832,0.4804,0.483,240492.4
18,0.4827,0.4858,0.4825,0.4827,366313.0
19,0.4828,0.4834,0.4811,0.4821,175751.9
20,0.482,0.4821,0.4805,0.4812,155000.3
21,0.4813,0.4815,0.4761,0.477,415198.1
22,0.477,0.4775,0.4751,0.4755,333121.6
23,0.4754,0.4767,0.4741,0.4757,664905.7
24,0.4757,0.4776,0.4752,0.4762,320142.1
25,0.4762,0.4769,0.475,0.4764,162483.6
26,0.4761,0.4771,0.476,0.4768,150799.5
27,0.4768,0.4772,0.475,0.475,233697.0
28,0.4751,0.4782,0.475,0.4764,348491.6
29,0.4763,0.4766,0.4738,0.4738,388849.9
30,0.4739,0.4762,0.473,0.4733,442032.9
31,0.4733,0.4753,0.4727,0.4749,393943.2
32,0.4749,0.4756,0.4744,0.4747,264844.9
33,0.4746,0.4799,0.4736,0.4773,587206.2
34,0.4775,0.4776,0.4738,0.4738,214690.4
35,0.4739,0.4752,0.4739,0.4749,233254.0
36,0.4749,0.4779,0.4749,0.4773,297481.9
37,0.4772,0.4796,0.477,0.4796,208148.2
38,0.4796,0.4814,0.4781,0.4795,976151.8
39,0.4797,0.4797,0.4762,0.4772,227920.7
40,0.4772,0.4787,0.4769,0.4785,285111.2
41,0.4785,0.4786,0.4766,0.4776,382009.2
42,0.4775,0.4788,0.4763,0.4777,382109.6
43,0.4777,0.4778,0.4754,0.4759,195746.4
44,0.476,0.4762,0.4734,0.4743,190883.5
45,0.4743,0.4759,0.4738,0.475,332436.6
46,0.475,0.4757,0.4745,0.475,151766.7
47,0.4751,0.4761,0.475,0.4756,83241.6
48,0.4755,0.478,0.4754,0.4771,272187.5
49,0.4771,0.4771,0.4739,0.4748,201674.7
50,0.4748,0.476,0.4745,0.4759,186649.7
51,0.4758,0.4786,0.4758,0.4774,136934.0
52,0.4775,0.4789,0.4772,0.4787,144676.4
53,0.4786,0.481,0.4784,0.4807,395183.9
54,0.4808,0.484,0.4806,0.4839,286870.1
55,0.4839,0.484,0.4825,0.4833,205220.9
56,0.4833,0.4883,0.4833,0.4871,575219.7
57,0.487,0.487,0.4846,0.4866,615314.9
58,0.4866,0.4894,0.4858,0.4882,330013.7
59,0.4882,0.4893,0.4869,0.4876,250121.2
60,0.4877,0.4879,0.4855,0.486,146592.5
61,0.486,0.4865,0.4841,0.4845,285324.9
62,0.4845,0.4847,0.4828,0.4841,275564.6
63,0.4839,0.4888,0.4839,0.4876,302529.3
64,0.4879,0.488,0.4851,0.4851,193442.5
65,0.4852,0.489,0.4851,0.4879,437055.9
66,0.488,0.4883,0.4861,0.4861,83243.8
67,0.4863,0.4874,0.4858,0.4867,139087.7
68,0.4865,0.4869,0.4843,0.4854,223348.6
69,0.4854,0.4857,0.4835,0.4838,88949.9
70,0.4837,0.4842,0.4814,0.4819,169391.1
71,0.482,0.4847,0.4818,0.4832,192864.8
72,0.4832,0.4857,0.4832,0.485,111416.8
73,0.485,0.4857,0.482,0.4836,189404.9
74,0.4835,0.4856,0.4831,0.4853,102301.5
75,0.4853,0.487,0.4852,0.4869,146416.8
76,0.4869,0.4874,0.4822,0.4824,277178.3
77,0.4822,0.4858,0.4811,0.4856,220997.8
78,0.4856,0.487,0.4837,0.484,325119.4
79,0.4841,0.4841,0.4809,0.4816,141244.4
80,0.4816,0.484,0.481,0.484,214987.8
81,0.4839,0.4869,0.4834,0.4861,261911.6
82,0.4862,0.4865,0.4846,0.4846,186631.4
83,0.4845,0.4875,0.4843,0.4872,300318.9
84,0.4872,0.4882,0.4855,0.4881,168013.5
85,0.488,0.4884,0.4859,0.4865,115703.6
86,0.4864,0.4867,0.4841,0.4862,106592.6
87,0.4863,0.4868,0.4846,0.4859,108649.0
88,0.4859,0.4875,0.4859,0.4866,130140.1
89,0.4866,0.49,0.4857,0.4887,224524.9
90,0.4888,0.4888,0.4874,0.4874,120884.1
91,0.4874,0.4888,0.4869,0.4885,127903.5
92,0.4886,0.4887,0.4862,0.4862,145959.4
93,0.4863,0.4892,0.4855,0.4872,241594.8
94,0.4875,0.4882,0.4847,0.4847,156243.1
95,0.4847,0.4856,0.4842,0.4842,184619.6
96,0.4841,0.4865,0.4841,0.4853,140232.9
97,0.4853,0.4865,0.485,0.4854,87948.3
98,0.4853,0.486,0.4827,0.4857,240510.5
99,0.4858,0.4862,0.4832,0.4837,174499.7
100,0.4838,0.4842,0.481,0.4814,113318.2
101,0.4812,0.482,0.4806,0.481,169077.6
102,0.4811,0.4833,0.4811,0.4825,155007.2
103,0.4824,0.4824,0.4807,0.4813,208108.0
104,0.4813,0.4819,0.4804,0.4805,49942.7
105,0.4805,0.4817,0.4789,0.479,212589.2
106,0.4789,0.4793,0.478,0.4788,230366.3
107,0.4789,0.4807,0.4783,0.4794,112082.1
108,0.4794,0.482,0.4793,0.4815,220732.8
109,0.4814,0.4817,0.4792,0.4794,142653.9
110,0.4795,0.4802,0.4789,0.4802,113933.1
111,0.4801,0.483,0.4797,0.4822,154596.7
112,0.4822,0.4842,0.4818,0.4831,97410.8
113,0.4832,0.4846,0.4832,0.4837,120117.8
114,0.4838,0.4847,0.4827,0.4847,446606.2
115,0.4847,0.486,0.4841,0.4856,108408.8
116,0.4857,0.4876,0.4854,0.4871,183841.0
117,0.4871,0.4876,0.4868,0.4873,105336.8
118,0.4871,0.4871,0.4851,0.4865,242996.5
119,0.4865,0.4879,0.485,0.4879,137477.7
120,0.4878,0.4885,0.4874,0.4882,153623.2
121,0.4884,0.4884,0.4863,0.488,131193.5
122,0.4879,0.4903,0.4875,0.4901,300182.8
123,0.4902,0.4905,0.4882,0.4887,105646.4
124,0.4886,0.4896,0.488,0.4881,77468.9
125,0.4881,0.49,0.4873,0.4899,157782.5
126,0.49,0.4931,0.4863,0.4867,263630.8
127,0.4866,0.4874,0.4844,0.4867,225918.6
128,0.4868,0.4878,0.4851,0.4868,181947.2
129,0.4868,0.4877,0.4854,0.4858,155569.8
130,0.4858,0.4874,0.4843,0.4866,154738.6
131,0.4867,0.4872,0.4856,0.4872,196086.9
132,0.4872,0.4892,0.4872,0.4883,125809.9
133,0.4885,0.4891,0.4873,0.4889,89191.0
134,0.489,0.4905,0.4861,0.4863,224886.9
135,0.4863,0.4866,0.485,0.4853,221728.2
136,0.4854,0.487,0.4852,0.4862,124505.5
137,0.4863,0.4871,0.4849,0.486,150352.7
138,0.486,0.4868,0.4845,0.4863,134467.1
139,0.4862,0.487,0.4856,0.4862,95785.3
140,0.4861,0.4883,0.4861,0.4869,316518.8
141,0.4868,0.487,0.4858,0.4869,218630.5
142,0.4869,0.4872,0.4858,0.486,127986.9
143,0.4859,0.4859,0.4841,0.4847,177637.8
144,0.4844,0.4846,0.482,0.4822,193396.2
145,0.4822,0.4828,0.4803,0.4806,386754.3
146,0.4806,0.482,0.4806,0.4814,127038.5
147,0.4814,0.4819,0.4799,0.48,258914.0
148,0.4799,0.4802,0.4765,0.4765,354317.4
149,0.4765,0.478,0.4755,0.4767,316580.5
150,0.4768,0.4769,0.4747,0.4754,536406.8
151,0.4754,0.4758,0.4745,0.4756,87704.7
152,0.4755,0.4755,0.4744,0.4745,56462.9
153,0.4746,0.475,0.472,0.4726,295985.1
154,0.4726,0.4735,0.4721,0.473,116869.8
155,0.4731,0.4732,0.472,0.4721,49828.7
156,0.4722,0.4727,0.469,0.4693,285134.2
