,OPEN,HIGH,LOW,CLOSE,VOLUME
0,9.9,10.0,9.9,9.98,6941.88
1,9.98,9.98,9.89,9.94,14520.88
2,9.95,9.96,9.92,9.93,5192.9
3,9.93,9.95,9.91,9.92,2882.66
4,9.93,9.93,9.87,9.87,3106.42
5,9.87,9.89,9.82,9.83,3042.75
6,9.83,9.84,9.79,9.8,3960.98
7,9.8,9.82,9.79,9.82,1016.33
8,9.82,9.82,9.77,9.78,2462.67
9,9.77,9.81,9.75,9.79,8859.16
10,9.79,9.84,9.78,9.84,3218.56
11,9.85,9.85,9.82,9.82,2061.48
12,9.82,9.82,9.77,9.78,2324.11
13,9.78,9.79,9.77,9.79,2081.53
14,9.78,9.8,9.74,9.74,12104.05
15,9.74,9.75,9.67,9.68,10952.35
16,9.69,9.69,9.65,9.65,3974.17
17,9.66,9.69,9.63,9.66,5402.61
18,9.66,9.69,9.64,9.66,16006.37
19,9.66,9.7,9.64,9.66,9126.76
20,9.66,9.7,9.64,9.68,10384.61
21,9.69,9.7,9.65,9.67,8558.54
22,9.67,9.69,9.64,9.68,8744.15
23,9.68,9.68,9.63,9.65,2640.46
24,9.66,9.7,9.63,9.69,5406.15
25,9.69,9.7,9.67,9.7,1766.66
26,9.7,9.71,9.69,9.71,2123.81
27,9.71,9.72,9.67,9.67,2712.6
28,9.68,9.69,9.68,9.68,1928.14
29,9.67,9.67,9.61,9.61,5622.39
30,9.62,9.63,9.59,9.59,6538.71
31,9.59,9.63,9.57,9.61,5595.38
32,9.61,9.62,9.59,9.59,2760.38
33,9.59,9.68,9.57,9.66,6169.45
34,9.66,9.68,9.61,9.61,6159.66
35,9.61,9.63,9.61,9.63,1151.13
36,9.63,9.71,9.63,9.71,6256.87
37,9.71,9.76,9.71,9.75,3091.35
38,9.75,9.79,9.74,9.77,9483.12
39,9.77,9.8,9.72,9.73,7387.15
40,9.73,9.79,9.73,9.78,3706.07
41,9.78,9.87,9.77,9.87,6771.68
42,9.87,9.91,9.84,9.89,6987.71
43,9.89,9.9,9.85,9.87,4960.12
44,9.86,9.86,9.79,9.8,3177.63
45,9.81,9.89,9.8,9.86,8977.65
46,9.86,9.91,9.86,9.9,6108.73
47,9.9,9.9,9.86,9.86,1599.82
48,9.87,9.92,9.86,9.88,8370.05
49,9.89,9.89,9.81,9.83,5533.56
50,9.82,9.84,9.78,9.82,8132.4
51,9.82,9.82,9.78,9.79,4718.37
52,9.79,9.82,9.78,9.8,7464.16
53,9.8,9.88,9.8,9.88,4295.7
54,9.88,9.9,9.87,9.88,5383.0
55,9.87,9.89,9.85,9.88,6761.21
56,9.88,9.93,9.88,9.91,1204.5
57,9.91,9.93,9.85,9.93,11713.27
58,9.92,10.0,9.92,9.98,8137.29
59,9.98,10.0,9.9,9.92,5915.46
60,9.91,9.92,9.81,9.81,27265.7
61,9.81,9.82,9.73,9.73,17873.87
62,9.73,9.75,9.72,9.72,3442.35
63,9.71,9.74,9.69,9.71,9864.48
64,9.71,9.71,9.66,9.66,3783.75
65,9.66,9.72,9.65,9.72,6328.68
66,9.72,9.72,9.67,9.67,4072.69
67,9.67,9.7,9.67,9.68,2030.81
68,9.68,9.68,9.65,9.66,5508.43
69,9.66,9.67,9.65,9.66,1365.0
70,9.66,9.66,9.62,9.63,3967.76
71,9.63,9.66,9.62,9.65,1566.92
72,9.65,9.68,9.65,9.66,966.85
73,9.67,9.68,9.64,9.66,6362.99
74,9.66,9.67,9.63,9.64,6272.59
75,9.64,9.64,9.6,9.63,9068.19
76,9.63,9.64,9.54,9.56,5966.41
77,9.56,9.59,9.55,9.59,4171.08
78,9.59,9.63,9.58,9.59,4540.67
79,9.59,9.59,9.52,9.53,4626.83
80,9.53,9.58,9.52,9.57,5751.59
81,9.57,9.62,9.57,9.61,4582.91
82,9.61,9.62,9.54,9.55,7049.5
83,9.55,9.64,9.55,9.63,4383.42
84,9.64,9.66,9.61,9.65,2822.46
85,9.64,9.65,9.63,9.64,5580.69
86,9.64,9.65,9.59,9.61,19146.0
87,9.61,9.61,9.55,9.58,15439.53
88,9.58,9.59,9.56,9.59,6327.44
89,9.59,9.65,9.59,9.64,15198.86
90,9.64,9.64,9.59,9.59,3876.15
91,9.59,9.62,9.58,9.6,5451.88
92,9.6,9.6,9.56,9.56,3448.66
93,9.56,9.6,9.55,9.56,6996.09
94,9.57,9.58,9.55,9.55,2525.21
95,9.55,9.55,9.51,9.53,10146.99
96,9.53,9.56,9.52,9.52,2784.62
97,9.52,9.53,9.43,9.46,34562.24
98,9.45,9.49,9.44,9.46,5969.36
99,9.46,9.46,9.43,9.44,9383.84
100,9.43,9.44,9.39,9.39,12584.87
101,9.4,9.41,9.37,9.39,8090.43
102,9.39,9.43,9.38,9.41,10261.93
103,9.41,9.43,9.39,9.4,19985.89
