,OPEN,HIGH,LOW,CLOSE,VOLUME
0,28405.17,28520.78,28405.17,28477.68,61.00308
1,28478.26,28517.03,28425.53,28482.06,63.23013
2,28482.06,28582.47,28477.86,28548.89,55.38542
3,28548.9,28558.7,28479.07,28497.51,81.04922
4,28499.99,28539.95,28423.0,28427.22,68.36636
5,28427.24,28427.24,28345.83,28350.0,98.45681
6,28349.99,28403.16,28339.19,28373.83,43.67971
7,28373.82,28436.68,28365.54,28436.67,75.99218
8,28436.68,28436.68,28351.99,28370.58,70.0339
9,28370.58,28372.77,28320.37,28369.15,48.57753
10,28369.14,28447.54,28350.0,28435.37,65.65499
11,28435.37,28454.98,28371.58,28392.73,45.91223
12,28392.74,28392.74,28303.69,28337.05,59.8461
13,28337.06,28408.81,28324.5,28391.71,55.78857
14,28391.72,28426.5,28331.62,28331.63,40.7417
15,28331.62,28350.0,28288.0,28298.42,57.48975
16,28298.42,28307.64,28251.48,28259.86,76.01801
17,28259.85,28390.0,28259.85,28363.21,102.30076
18,28363.22,28449.23,28320.42,28333.03,99.88017
19,28333.03,28386.61,28320.0,28354.77,89.30009
20,28354.77,28368.5,28316.73,28345.49,62.65804
21,28345.49,28352.73,28278.88,28289.28,53.64342
22,28289.29,28295.04,28222.0,28245.77,75.17813
23,28245.77,28248.24,28186.74,28239.94,97.50676
24,28239.94,28360.0,28229.27,28320.29,61.19035
25,28320.29,28340.64,28276.16,28306.05,46.51685
26,28311.14,28380.0,28304.99,28373.57,55.24304
27,28373.58,28415.96,28326.37,28328.12,48.56733
28,28329.53,28405.21,28329.53,28371.76,40.45655
29,28371.76,28374.78,28290.1,28295.96,48.88369
30,28295.97,28356.07,28265.39,28265.39,96.79827
31,28265.39,28350.0,28260.0,28348.14,89.32851
32,28347.72,28381.83,28342.36,28352.18,32.04168
33,28352.19,28476.74,28307.35,28446.94,77.52374
34,28446.94,28455.47,28320.0,28327.18,59.95771
35,28327.17,28372.85,28304.4,28361.51,95.06205
36,28361.52,28450.0,28361.51,28443.64,43.41772
37,28443.64,28550.6,28440.0,28548.3,58.76643
38,28548.31,28550.6,28468.61,28505.51,89.09476
39,28505.5,28515.55,28415.28,28440.05,50.33214
40,28444.05,28496.94,28440.03,28466.62,67.66632
41,28466.63,28472.62,28423.33,28453.17,21.3963
42,28453.16,28502.85,28426.62,28489.42,48.30715
43,28489.41,28501.65,28426.63,28443.73,46.37845
44,28443.72,28443.73,28303.9,28329.99,108.18873
45,28329.99,28372.73,28297.79,28339.98,54.99038
46,28339.98,28362.85,28305.16,28322.97,57.1529
47,28322.96,28352.0,28318.29,28338.36,24.91649
48,28338.36,28394.31,28335.55,28375.75,77.01161
49,28375.74,28378.81,28286.56,28320.24,66.9084
50,28322.38,28365.91,28305.45,28361.83,38.47695
51,28361.82,28460.48,28361.82,28432.91,50.76442
52,28432.91,28569.51,28429.99,28476.76,120.86802
53,28475.65,28582.84,28464.9,28576.32,69.70567
54,28576.32,28669.14,28571.04,28657.6,95.24986
55,28653.76,28679.99,28603.5,28670.7,104.01122
56,28670.7,28775.48,28669.27,28757.84,121.45318
57,28757.83,28769.14,28690.0,28723.86,60.66264
58,28723.86,28884.69,28702.66,28823.26,175.68982
59,28815.74,28897.19,28796.66,28807.99,149.08603
60,28807.99,28808.0,28719.9,28724.16,63.43309
61,28724.16,28734.86,28630.46,28646.55,56.60411
62,28646.55,28646.55,28546.89,28578.09,108.18877
63,28578.09,28714.28,28570.12,28695.24,70.13716
64,28695.24,28695.24,28567.12,28570.56,40.02354
65,28570.55,28711.39,28551.83,28689.06,81.83881
66,28694.7,28697.74,28611.22,28618.43,48.79823
67,28618.43,28650.0,28605.68,28622.2,53.21937
68,28622.21,28638.61,28550.0,28602.14,62.02169
69,28602.13,28625.88,28535.35,28542.09,55.04456
70,28542.08,28556.82,28471.86,28486.94,85.7879
71,28486.93,28563.67,28466.39,28506.53,63.34995
72,28506.52,28589.82,28506.52,28557.05,51.68533
73,28552.12,28592.63,28483.01,28519.18,42.73668
74,28519.19,28566.25,28495.0,28562.99,50.17545
75,28562.99,28649.41,28558.28,28637.93,61.022
76,28632.1,28665.52,28461.6,28465.53,49.08448
77,28465.53,28590.0,28440.97,28582.11,46.53941
78,28582.11,28638.14,28542.99,28555.61,50.16024
79,28555.61,28561.25,28466.18,28485.83,44.52986
80,28483.63,28581.46,28483.63,28581.45,44.6854
81,28581.46,28662.52,28548.65,28647.02,69.53335
82,28647.02,28659.79,28571.4,28571.4,51.73711
83,28571.4,28712.9,28571.4,28686.99,70.32809
84,28687.0,28752.88,28650.73,28741.03,50.17833
85,28741.02,28761.16,28692.33,28709.86,95.18164
86,28709.87,28723.56,28633.74,28714.32,33.77088
87,28714.32,28733.4,28657.22,28711.0,45.80148
88,28711.01,28756.71,28711.0,28718.42,106.18573
89,28717.21,28800.0,28694.16,28757.44,70.76416
90,28759.67,28759.67,28705.9,28707.46,52.76171
91,28707.46,28749.86,28689.24,28749.86,33.25249
92,28745.13,28751.65,28640.0,28641.15,62.51601
93,28640.0,28729.64,28630.0,28633.81,69.5416
94,28633.81,28658.56,28593.81,28601.74,89.44698
95,28601.75,28634.83,28592.17,28611.28,19.52662
96,28605.55,28682.78,28604.74,28666.13,21.16736
97,28666.14,28680.53,28650.0,28655.58,22.19028
98,28655.61,28697.0,28609.37,28685.13,56.28834
99,28685.13,28694.91,28631.57,28651.83,40.85737
100,28646.33,28661.02,28500.0,28565.01,110.87648
