,OPEN,HIGH,LOW,CLOSE,VOLUME
0,1931.32,1945.0,1931.31,1940.58,912.8781
1,1940.58,1943.02,1936.1,1940.16,493.583
2,1940.16,1945.71,1940.15,1942.02,527.4269
3,1942.01,1943.36,1935.64,1937.13,685.2698
4,1937.13,1938.81,1928.02,1928.46,1095.787
5,1928.76,1928.82,1916.0,1916.84,1616.453
6,1916.83,1920.0,1914.84,1916.1,1176.4841
7,1916.1,1921.11,1915.21,1921.1,940.9676
8,1921.1,1921.49,1913.49,1914.76,1251.7474
9,1914.75,1916.97,1910.6,1916.76,795.7261
10,1916.76,1923.51,1915.03,1922.48,1045.8279
11,1922.47,1924.66,1918.75,1920.85,712.741
12,1920.85,1921.0,1912.66,1915.87,863.3432
13,1915.87,1921.96,1915.06,1920.89,788.6348
14,1920.89,1923.37,1915.0,1915.01,598.6964
15,1915.0,1917.88,1912.94,1912.94,547.592
16,1913.2,1922.53,1910.0,1912.39,1158.3212
17,1912.39,1929.1,1911.89,1921.23,1511.7783
18,1921.24,1927.42,1919.19,1919.68,809.6094
19,1919.69,1922.27,1914.18,1915.26,723.3134
20,1915.26,1916.16,1911.0,1913.13,705.6117
21,1913.34,1914.1,1906.29,1908.26,887.7184
22,1908.25,1909.21,1905.01,1908.77,817.8382
23,1908.78,1908.78,1901.42,1906.33,1137.2029
24,1906.73,1918.38,1905.47,1916.32,864.2996
25,1916.32,1917.26,1910.4,1913.63,381.3582
26,1913.63,1918.38,1912.82,1917.51,420.1056
27,1917.51,1919.99,1912.19,1912.34,344.0507
28,1912.33,1917.13,1911.61,1913.06,402.3655
29,1912.76,1913.41,1906.67,1907.1,294.1381
30,1907.09,1911.22,1900.1,1904.78,2163.3739
31,1905.17,1912.18,1904.54,1911.33,618.814
32,1911.33,1913.24,1909.93,1910.62,445.0921
33,1910.62,1920.62,1907.86,1917.7,807.9596
34,1917.71,1919.59,1906.67,1907.68,683.7552
35,1907.68,1912.63,1907.32,1911.01,573.8899
36,1911.51,1919.86,1911.02,1919.34,496.2963
37,1919.34,1924.25,1918.7,1924.24,292.2163
38,1924.25,1925.19,1918.62,1921.09,455.7155
39,1921.09,1921.91,1914.47,1917.24,316.0018
40,1917.24,1921.66,1917.08,1919.67,527.5901
41,1919.67,1920.29,1916.21,1919.09,311.4964
42,1919.15,1923.34,1916.41,1921.93,315.9031
43,1921.94,1922.75,1915.43,1916.92,533.4327
44,1916.91,1917.09,1909.24,1911.25,770.5355
45,1911.25,1914.88,1908.77,1912.22,481.9833
46,1912.22,1913.77,1910.43,1911.58,454.1589
47,1911.57,1914.73,1911.39,1913.44,418.8923
48,1913.45,1921.3,1913.2,1919.72,1411.71
49,1919.73,1919.98,1911.59,1913.44,498.9124
50,1913.34,1918.69,1912.18,1918.69,677.1922
51,1918.31,1926.87,1918.31,1925.76,824.9488
52,1925.77,1930.84,1925.23,1930.34,577.5138
53,1930.34,1941.24,1929.1,1941.24,1408.6511
54,1941.26,1947.9,1939.71,1945.55,1206.4312
55,1945.24,1947.03,1942.16,1944.81,855.1417
56,1944.81,1954.84,1944.56,1953.01,1241.5976
57,1953.0,1953.63,1947.76,1950.89,1171.1003
58,1950.89,1968.17,1949.18,1962.2,1581.0367
59,1962.2,1968.02,1959.23,1959.46,1313.1902
60,1959.46,1959.48,1951.19,1952.08,660.5089
61,1951.75,1952.78,1945.62,1948.48,945.626
62,1948.48,1948.49,1937.32,1939.56,979.7606
63,1939.76,1951.43,1938.78,1947.24,653.1328
64,1947.24,1947.96,1937.3,1937.66,592.3733
65,1937.4,1952.2,1937.17,1950.88,933.584
66,1951.21,1951.46,1945.03,1945.61,580.6581
67,1945.32,1949.09,1944.39,1946.95,512.871
68,1946.85,1947.87,1939.24,1942.36,755.709
69,1942.36,1944.75,1937.0,1937.68,667.5193
70,1937.68,1939.03,1931.3,1933.04,753.3939
71,1933.02,1939.83,1932.14,1934.32,902.8337
72,1934.32,1939.41,1934.15,1938.12,614.5277
73,1938.11,1940.36,1930.18,1934.07,468.1894
74,1934.07,1937.77,1932.17,1937.43,535.7677
75,1937.43,1948.33,1937.21,1946.12,501.7718
76,1946.12,1949.0,1928.8,1928.9,635.5613
77,1928.9,1942.9,1927.13,1941.32,752.6817
78,1941.32,1946.44,1936.97,1937.22,459.3804
79,1937.23,1937.34,1927.47,1929.5,591.7956
80,1929.1,1938.43,1929.1,1938.43,562.9465
81,1937.68,1945.0,1934.0,1942.91,688.6956
82,1942.91,1945.55,1938.53,1939.14,599.9906
83,1938.53,1949.72,1938.53,1949.33,859.5222
84,1949.32,1953.51,1945.76,1952.74,576.8974
85,1952.73,1953.53,1944.18,1945.79,635.1218
86,1945.63,1947.63,1938.11,1946.61,407.1824
87,1946.76,1948.25,1942.81,1945.74,550.5241
88,1946.05,1951.94,1945.9,1948.68,906.648
89,1948.68,1956.67,1947.32,1952.59,584.6903
90,1952.59,1953.37,1947.32,1947.41,841.6392
91,1947.41,1954.24,1946.13,1954.24,433.427
92,1954.24,1954.53,1945.28,1945.28,397.2059
93,1945.85,1951.79,1943.65,1944.72,1544.8441
94,1944.72,1946.49,1939.13,1939.34,744.2502
95,1939.34,1942.34,1938.17,1938.17,430.8415
96,1938.17,1947.09,1938.17,1945.44,475.1377
97,1945.44,1947.88,1944.62,1944.83,245.9595
98,1944.84,1950.7,1941.04,1949.6,481.5238
99,1949.6,1951.02,1945.55,1948.43,465.79
100,1948.44,1949.03,1939.0,1940.32,685.4116
101,1940.31,1942.5,1939.05,1940.69,273.5054
102,1940.98,1947.44,1940.51,1943.31,498.0048
103,1943.72,1943.72,1937.21,1938.42,1039.569
104,1938.41,1939.31,1933.23,1933.69,431.1516
105,1933.69,1936.28,1929.12,1929.41,590.7225
106,1929.42,1931.27,1926.32,1929.24,846.2631
107,1929.62,1930.0,1928.08,1929.67,688.2723
108,1929.2,1937.15,1928.78,1935.73,1977.7554
109,1935.73,1935.94,1930.44,1930.96,344.0475
110,1930.96,1931.9,1928.55,1929.99,316.8436
111,1929.99,1937.39,1928.44,1934.0,400.1511
112,1933.99,1940.0,1933.89,1936.62,301.7113
113,1936.62,1939.75,1933.25,1933.66,396.2343
114,1933.67,1935.5,1929.51,1934.37,647.6131
115,1934.37,1938.84,1933.66,1937.75,237.4795
116,1937.76,1944.2,1937.01,1942.24,418.1794
117,1942.24,1945.51,1941.36,1942.19,584.0773
118,1942.19,1942.6,1938.66,1942.56,436.5505
119,1942.55,1947.68,1938.0,1947.67,544.8067
120,1947.66,1949.0,1944.61,1946.5,450.8372
121,1946.5,1946.96,1940.23,1944.15,555.5856
122,1944.16,1952.0,1943.73,1951.99,724.6764
123,1951.99,1952.0,1944.23,1944.76,467.6616
124,1944.76,1946.37,1941.1,1941.1,385.2314
125,1941.1,1945.0,1940.22,1945.0,431.0807
126,1944.99,1949.29,1938.69,1939.7,729.8766
127,1939.71,1940.86,1935.29,1938.9,595.7372
128,1938.91,1945.85,1938.0,1944.01,417.5783
129,1944.21,1946.74,1940.0,1940.31,424.0739
130,1940.31,1945.81,1939.39,1943.9,228.124
131,1943.89,1946.71,1942.7,1946.7,391.0913
132,1946.71,1950.86,1946.28,1947.74,283.091
133,1948.41,1952.0,1946.59,1951.75,353.56
134,1951.75,1959.06,1945.71,1945.71,742.2614
135,1945.72,1946.86,1942.97,1943.32,453.2135
136,1943.33,1952.44,1942.6,1950.21,517.5193
137,1950.21,1950.63,1944.04,1946.83,340.1506
138,1946.53,1952.47,1945.51,1951.2,321.9149
139,1951.19,1953.8,1949.87,1951.02,327.1198
140,1951.02,1954.53,1950.38,1950.39,422.7411
141,1950.38,1950.44,1947.13,1948.84,282.1231
142,1948.84,1948.94,1944.57,1945.54,484.0468
143,1945.42,1946.54,1942.33,1943.38,370.5364
144,1943.38,1943.51,1937.47,1939.04,406.9522
145,1939.04,1941.0,1935.59,1936.63,337.2503
146,1936.62,1942.68,1935.71,1940.82,328.0485
147,1941.03,1944.0,1936.35,1937.14,880.7809
148,1937.14,1939.19,1931.89,1932.84,590.1788
149,1932.84,1935.56,1932.09,1934.26,382.9552
150,1934.28,1934.54,1931.77,1932.66,557.9203
151,1932.92,1933.72,1930.66,1932.86,475.7614
152,1932.86,1933.0,1930.11,1930.49,346.2095
153,1930.48,1931.31,1925.0,1925.47,570.7455
154,1925.47,1927.95,1922.06,1927.57,674.0725
155,1927.57,1928.75,1924.99,1927.04,396.244
156,1927.04,1929.62,1922.34,1923.19,448.4412
157,1923.19,1928.16,1921.11,1922.54,1053.3956
158,1922.54,1923.98,1920.0,1922.48,607.9899
159,1922.49,1923.68,1920.01,1920.68,372.3169
160,1920.68,1921.95,1916.46,1916.85,465.2781
161,1916.51,1921.73,1916.46,1917.89,488.1611
