,OPEN,HIGH,LOW,CLOSE,VOLUME
0,63.7,63.9,63.6,63.7,3256.059
1,63.6,63.7,63.5,63.7,459.327
2,63.7,63.9,63.6,63.7,718.77
3,63.8,63.9,63.6,63.7,463.079
4,63.6,63.7,63.4,63.4,439.303
5,63.3,63.4,62.9,62.9,1587.019
6,62.9,63.1,62.7,62.9,860.39
7,62.9,63.1,62.9,63.0,375.812
8,63.0,63.2,62.8,62.9,662.968
9,62.9,62.9,62.7,62.8,216.513
10,62.9,63.0,62.8,63.0,705.116
11,63.0,63.1,62.9,63.0,161.403
12,62.9,62.9,62.7,62.9,434.358
13,62.9,63.1,62.8,63.1,389.308
14,63.0,63.1,62.8,62.8,520.35
15,62.8,62.8,62.5,62.6,996.378
16,62.6,62.7,62.5,62.6,789.494
17,62.6,62.8,62.4,62.8,1508.96
18,62.8,63.1,62.7,62.8,716.88
19,62.8,62.9,62.6,62.7,518.572
20,62.6,62.8,62.6,62.7,242.753
21,62.7,62.8,62.4,62.5,535.009
22,62.4,62.5,62.3,62.4,496.507
23,62.5,62.5,62.3,62.5,1205.499
24,62.5,62.8,62.5,62.6,379.559
25,62.7,62.7,62.5,62.5,327.103
26,62.6,62.8,62.6,62.7,169.632
27,62.8,62.9,62.6,62.7,489.393
28,62.7,62.8,62.5,62.7,466.434
29,62.6,62.7,62.4,62.4,156.996
30,62.4,62.5,62.3,62.4,622.953
31,62.4,62.6,62.3,62.6,471.866
32,62.5,62.6,62.5,62.6,42.958
33,62.6,63.0,62.6,63.0,772.658
34,63.0,63.0,62.6,62.6,492.972
35,62.5,62.7,62.5,62.7,240.064
36,62.7,63.2,62.7,63.2,556.16
37,63.2,63.3,63.1,63.3,292.559
38,63.2,63.4,63.1,63.2,636.292
39,63.2,63.3,62.8,62.9,354.347
40,62.9,63.2,62.9,63.0,237.344
41,63.1,63.1,62.9,63.0,366.985
42,63.0,63.2,62.9,63.2,546.4
43,63.2,63.3,63.0,63.1,415.586
44,63.1,63.1,62.7,62.8,359.154
45,62.8,63.0,62.8,62.9,332.816
46,62.9,63.0,62.8,62.9,235.369
47,62.9,63.0,62.8,62.9,177.567
48,62.9,63.1,62.9,63.0,700.476
49,63.0,63.0,62.8,62.9,328.625
50,62.9,63.0,62.8,62.9,222.377
51,62.9,63.3,62.9,63.3,485.287
52,63.3,63.4,63.2,63.2,175.944
53,63.3,63.6,63.3,63.6,960.641
54,63.7,64.0,63.6,64.0,1328.655
55,63.9,64.1,63.8,64.0,824.23
56,64.0,64.5,64.0,64.5,707.831
57,64.4,64.5,64.2,64.5,1282.223
58,64.5,64.7,64.4,64.6,1344.939
59,64.6,64.7,64.3,64.4,942.845
60,64.3,64.4,64.1,64.1,359.252
61,64.1,64.3,63.9,63.9,354.281
62,63.9,64.0,63.8,63.9,135.56
63,63.9,64.4,63.8,64.3,381.875
64,64.2,64.2,63.9,63.9,638.236
65,63.9,64.4,63.8,64.3,1350.18
66,64.4,64.8,64.2,64.5,6094.295
67,64.5,64.8,64.4,64.7,750.203
68,64.7,65.0,64.7,64.8,1972.589
69,64.9,64.9,64.7,64.7,394.738
70,64.8,64.9,64.7,64.8,1442.044
71,64.7,65.0,64.7,64.9,1192.533
72,64.9,65.2,64.9,65.1,586.879
73,65.1,65.1,64.8,65.1,609.819
74,65.1,65.3,65.0,65.2,311.428
75,65.3,65.6,65.2,65.6,320.133
76,65.5,65.7,64.8,64.9,1388.139
77,64.8,65.2,64.7,65.2,840.679
78,65.2,65.3,64.9,64.9,935.857
79,64.9,64.9,64.4,64.5,672.916
80,64.6,64.9,64.6,64.8,337.067
81,64.9,65.2,64.8,65.2,532.0
82,65.1,65.2,64.9,65.0,567.996
83,65.0,65.3,64.7,64.9,5774.641
84,64.9,65.0,64.8,64.9,265.667
85,64.8,64.9,64.8,64.8,123.035
86,64.7,64.8,64.5,64.7,393.687
87,64.6,64.7,64.5,64.5,256.542
88,64.6,64.7,64.5,64.7,108.184
89,64.7,64.9,64.5,64.9,630.523
90,64.8,64.9,64.7,64.7,125.905
91,64.7,64.8,64.6,64.8,491.815
92,64.9,64.9,64.6,64.6,482.988
93,64.6,64.8,64.5,64.6,505.668
94,64.6,64.6,64.2,64.3,523.501
95,64.3,64.4,64.0,64.0,1395.832
96,64.1,64.2,63.5,63.5,5911.801
97,63.6,63.8,63.4,63.7,2679.108
98,63.6,63.9,63.6,63.9,571.558
99,63.9,64.0,63.7,63.8,2390.463
100,63.8,63.8,63.4,63.4,857.3
101,63.5,63.6,63.4,63.6,157.187
102,63.5,63.9,63.5,63.7,531.33
103,63.7,63.7,63.5,63.6,410.762
104,63.6,63.7,63.4,63.4,292.814
105,63.5,63.6,63.3,63.3,329.459
106,63.3,63.4,63.2,63.4,330.624
107,63.4,63.7,63.3,63.5,1037.905
108,63.6,63.9,63.5,63.7,594.45
109,63.8,63.8,63.7,63.7,179.228
110,63.7,63.8,63.7,63.8,140.661
111,63.8,64.0,63.7,63.9,402.142
112,63.9,64.1,63.8,64.0,611.377
113,63.9,64.0,63.9,63.9,278.046
114,63.9,64.0,63.5,63.6,1486.195
115,63.7,63.8,63.6,63.7,128.88
116,63.7,64.0,63.7,64.0,222.477
117,64.0,64.1,63.9,64.0,201.709
118,64.0,64.0,63.7,63.9,255.226
119,63.9,64.0,63.8,64.0,220.816
120,63.9,64.1,63.9,64.0,140.786
121,64.0,64.0,63.9,63.9,713.476
122,64.0,64.2,63.9,64.2,270.356
123,64.2,64.2,64.0,64.0,223.547
