,OPEN,HIGH,LOW,CLOSE,VOLUME
0,0.762,0.7651,0.762,0.7645,23897.0
1,0.7637,0.7651,0.7623,0.765,15139.0
2,0.7651,0.767,0.7641,0.7665,19431.0
3,0.7657,0.7665,0.7627,0.7635,21674.0
4,0.7635,0.7635,0.7585,0.7593,18810.0
5,0.7586,0.7587,0.7551,0.7552,73542.0
6,0.7558,0.7579,0.7556,0.7562,25347.0
7,0.7562,0.7581,0.7562,0.7579,21923.0
8,0.758,0.7593,0.7534,0.7536,54943.0
9,0.7535,0.754,0.7519,0.754,22715.0
10,0.7541,0.7566,0.7536,0.7561,23344.0
11,0.7565,0.7569,0.7528,0.7537,37120.0
12,0.7535,0.7535,0.7508,0.7517,29704.0
13,0.7524,0.7547,0.7521,0.7539,36963.0
14,0.754,0.7549,0.7517,0.7517,7728.0
15,0.7515,0.7521,0.75,0.75,12383.0
16,0.75,0.7509,0.75,0.7508,36852.0
17,0.7508,0.7534,0.7506,0.7519,42811.0
18,0.7525,0.756,0.7521,0.7527,34608.0
19,0.7521,0.7533,0.75,0.7511,54523.0
20,0.7513,0.7521,0.7507,0.7517,25991.0
21,0.7519,0.752,0.75,0.7502,27666.0
22,0.7501,0.7509,0.7495,0.75,100928.0
23,0.7496,0.7505,0.747,0.7505,43481.0
24,0.7502,0.7547,0.7493,0.7534,37531.0
25,0.7532,0.754,0.7515,0.753,10918.0
26,0.7532,0.7549,0.7532,0.7549,52082.0
27,0.7546,0.7551,0.7495,0.7495,56089.0
28,0.7496,0.7519,0.7496,0.7502,26690.0
29,0.7502,0.7503,0.745,0.7456,17760.0
30,0.7456,0.7478,0.745,0.745,37723.0
31,0.7448,0.748,0.7444,0.7476,12660.0
32,0.7475,0.7481,0.7466,0.7468,10379.0
33,0.7463,0.7531,0.7447,0.7516,60437.0
34,0.7523,0.7523,0.7466,0.7466,32886.0
35,0.747,0.748,0.7454,0.7464,21765.0
36,0.747,0.7515,0.7466,0.751,29360.0
37,0.7511,0.7542,0.7509,0.7538,23567.0
38,0.7539,0.7549,0.7523,0.7535,46927.0
39,0.7535,0.754,0.75,0.7502,51762.0
40,0.7511,0.7565,0.7511,0.7559,24662.0
41,0.756,0.756,0.7539,0.7548,21851.0
42,0.7544,0.7577,0.7532,0.757,27383.0
43,0.7571,0.7579,0.7541,0.7549,36646.0
44,0.7552,0.7552,0.75,0.7512,62317.0
45,0.7516,0.7549,0.7509,0.7529,33936.0
46,0.7529,0.7536,0.7511,0.7518,16523.0
47,0.7526,0.753,0.7516,0.7521,14294.0
48,0.7522,0.7543,0.752,0.7536,18374.0
49,0.7536,0.7536,0.75,0.7506,20793.0
50,0.7506,0.7536,0.75,0.7531,23662.0
51,0.7534,0.7561,0.7534,0.7545,22159.0
52,0.7546,0.7563,0.754,0.7548,7983.0
53,0.7556,0.7597,0.7553,0.7597,26023.0
54,0.7599,0.7668,0.7594,0.7664,45173.0
55,0.7668,0.7668,0.7632,0.765,13972.0
56,0.7647,0.768,0.7647,0.768,23203.0
57,0.7678,0.7689,0.7664,0.7683,21349.0
58,0.7684,0.7744,0.7676,0.7727,34707.0
59,0.772,0.7725,0.7689,0.771,35474.0
60,0.7699,0.7706,0.7668,0.7668,22199.0
61,0.7667,0.7675,0.7653,0.7657,9853.0
62,0.7652,0.7655,0.7621,0.7629,23077.0
63,0.7635,0.7721,0.7635,0.7704,30960.0
64,0.7703,0.7705,0.7657,0.7657,32732.0
65,0.7657,0.7713,0.7657,0.7713,17473.0
66,0.7714,0.7722,0.7693,0.7697,9790.0
67,0.7692,0.7699,0.7679,0.7694,11069.0
68,0.7684,0.77,0.7672,0.7683,38809.0
69,0.7681,0.769,0.7641,0.7651,42197.0
70,0.7651,0.7653,0.7613,0.7636,23128.0
71,0.7635,0.7672,0.763,0.7648,14538.0
72,0.7658,0.7684,0.7657,0.7675,13986.0
73,0.7685,0.7698,0.7648,0.768,24544.0
74,0.7674,0.7689,0.7667,0.7684,13459.0
75,0.7689,0.7719,0.7689,0.7713,8521.0
76,0.772,0.7732,0.7645,0.7645,35983.0
77,0.7653,0.7688,0.7626,0.7687,39836.0
78,0.7677,0.7732,0.7676,0.7692,20652.0
79,0.7692,0.7692,0.7636,0.7636,23387.0
80,0.7643,0.7681,0.7643,0.7677,13665.0
81,0.769,0.7713,0.768,0.7708,15951.0
82,0.7709,0.7715,0.7695,0.7695,10455.0
83,0.7704,0.7741,0.7701,0.7732,28442.0
84,0.7741,0.7775,0.7732,0.7775,28821.0
85,0.7777,0.7782,0.7742,0.7754,42746.0
86,0.7744,0.775,0.7705,0.7727,18158.0
87,0.772,0.774,0.77,0.7726,15371.0
88,0.7722,0.775,0.7715,0.7738,36250.0
89,0.7739,0.7756,0.7718,0.7753,29338.0
90,0.7741,0.7744,0.7709,0.7712,16237.0
91,0.7712,0.7722,0.7701,0.7716,10782.0
92,0.7719,0.7728,0.7686,0.7686,32779.0
93,0.7681,0.7729,0.7672,0.7709,41255.0
94,0.7709,0.7721,0.7661,0.7661,36646.0
95,0.7661,0.7675,0.7652,0.7656,22702.0
96,0.7656,0.7684,0.7656,0.7673,15784.0
97,0.767,0.7676,0.7656,0.7656,8441.0
98,0.7654,0.7673,0.762,0.7667,46567.0
99,0.7664,0.7665,0.7621,0.7621,14894.0
100,0.7628,0.7633,0.7568,0.7568,21377.0
101,0.7579,0.7594,0.7567,0.7575,10949.0
102,0.7579,0.7592,0.7557,0.7591,46854.0
103,0.7581,0.7589,0.757,0.7579,55172.0
104,0.7574,0.7583,0.7553,0.756,22786.0
105,0.7559,0.7578,0.7523,0.7525,67980.0
106,0.7525,0.7541,0.7515,0.7531,21543.0
107,0.7531,0.7559,0.7529,0.7546,21486.0
108,0.7537,0.7584,0.7535,0.7567,21877.0
109,0.7569,0.7569,0.7544,0.7548,14212.0
110,0.754,0.7542,0.7525,0.7531,21600.0
111,0.7533,0.7565,0.7528,0.7547,14039.0
112,0.7548,0.7576,0.7548,0.7561,23831.0
113,0.7562,0.7584,0.756,0.7564,15826.0
114,0.7563,0.7571,0.7541,0.7555,19982.0
115,0.7559,0.7579,0.7556,0.7577,17323.0
116,0.7578,0.7608,0.7577,0.7601,24841.0
117,0.7601,0.7615,0.7595,0.7604,12707.0
118,0.7599,0.7599,0.7579,0.7591,20578.0
119,0.7591,0.7595,0.7539,0.7569,79901.0
120,0.7571,0.7578,0.7565,0.7572,7729.0
121,0.7573,0.7573,0.754,0.7551,15798.0
122,0.7555,0.7591,0.7555,0.7586,24475.0
123,0.7577,0.7577,0.7544,0.7544,16630.0
124,0.7545,0.7556,0.7523,0.7523,8870.0
125,0.7523,0.7534,0.7511,0.7534,24370.0
126,0.7533,0.7556,0.75,0.75,20663.0
127,0.7503,0.7508,0.7477,0.75,22375.0
128,0.7504,0.7536,0.7492,0.7519,60429.0
129,0.7524,0.7532,0.75,0.75,12729.0
130,0.75,0.7523,0.7491,0.7521,26779.0
131,0.7521,0.7538,0.7507,0.7538,11843.0
132,0.7539,0.7555,0.7533,0.7544,9097.0
133,0.7541,0.7554,0.7534,0.7551,11253.0
134,0.755,0.7586,0.7535,0.7536,17156.0
135,0.7534,0.7541,0.7521,0.7531,18172.0
136,0.7529,0.7568,0.7529,0.7557,13506.0
137,0.7557,0.7585,0.7539,0.757,25230.0
138,0.7568,0.7582,0.7556,0.7582,20503.0
139,0.7581,0.7585,0.7567,0.7582,15393.0
140,0.7588,0.7636,0.7586,0.7617,36930.0
141,0.7623,0.7636,0.761,0.7636,7936.0
142,0.7639,0.7639,0.7615,0.7629,13955.0
143,0.762,0.7628,0.7604,0.7623,25062.0
144,0.7612,0.7612,0.7586,0.7588,12973.0
145,0.7588,0.7593,0.7568,0.7568,12937.0
146,0.7566,0.7597,0.7561,0.7592,16165.0
147,0.7593,0.7607,0.755,0.7555,34799.0
148,0.7554,0.7559,0.7494,0.7501,51992.0
149,0.7493,0.7512,0.7487,0.7497,26749.0
150,0.7497,0.75,0.7474,0.7491,11627.0
151,0.7487,0.7495,0.7476,0.7495,12078.0
152,0.7491,0.7492,0.747,0.747,5871.0
153,0.7472,0.7472,0.7431,0.7438,20470.0
154,0.7438,0.7452,0.7419,0.7445,19718.0
155,0.7448,0.7452,0.742,0.742,10259.0
156,0.7424,0.7428,0.7391,0.7393,47562.0
157,0.7395,0.7411,0.7386,0.7389,13401.0
158,0.7393,0.7396,0.7371,0.7386,21402.0
159,0.7388,0.7394,0.7374,0.7381,7685.0
160,0.7381,0.7387,0.736,0.7367,7672.0
161,0.7367,0.7388,0.7367,0.738,8406.0
162,0.7378,0.7389,0.736,0.7369,8023.0
163,0.7373,0.7388,0.7365,0.738,20367.0
164,0.7378,0.7438,0.7377,0.7395,56555.0
165,0.7396,0.7407,0.7356,0.7358,32792.0
166,0.7361,0.7364,0.7322,0.733,30116.0
167,0.733,0.733,0.7311,0.7315,15504.0
168,0.7314,0.7325,0.7302,0.7302,30228.0
169,0.7301,0.7302,0.7287,0.7294,51925.0
170,0.73,0.7306,0.7281,0.7283,31126.0
171,0.7284,0.729,0.7259,0.7264,26365.0
172,0.7259,0.7275,0.7246,0.7258,43895.0
173,0.7257,0.7267,0.7248,0.725,31317.0
174,0.7254,0.726,0.7242,0.7245,47945.0
175,0.725,0.725,0.7231,0.7231,13492.0
176,0.7232,0.7246,0.7231,0.7239,14923.0
177,0.724,0.7244,0.7229,0.7229,7419.0
178,0.7228,0.7232,0.7214,0.7215,40846.0
179,0.7217,0.7218,0.7205,0.7207,7488.0
180,0.7206,0.7211,0.7205,0.7205,9934.0
181,0.7205,0.7208,0.7198,0.7198,23987.0
182,0.7204,0.7204,0.7194,0.7197,8551.0
183,0.7194,0.7204,0.7191,0.7192,37686.0
184,0.7193,0.7193,0.7159,0.716,30261.0
185,0.7162,0.7162,0.7147,0.7154,13202.0
186,0.7151,0.7152,0.7136,0.7136,16393.0
187,0.7139,0.7139,0.712,0.7127,17212.0
188,0.713,0.7152,0.7126,0.7147,82143.0
189,0.7147,0.7152,0.7131,0.7146,84145.0
190,0.7149,0.7149,0.7119,0.7124,14779.0
191,0.7124,0.7124,0.71,0.71,20475.0
192,0.7103,0.7114,0.71,0.7103,10037.0
193,0.71,0.7158,0.71,0.7158,44802.0
194,0.7153,0.7191,0.7145,0.7186,17509.0
195,0.7185,0.7201,0.7168,0.7197,35694.0
196,0.7193,0.7232,0.7193,0.7203,22914.0
197,0.7204,0.7209,0.72,0.72,16479.0
198,0.7201,0.7243,0.7201,0.7214,28503.0
199,0.721,0.7215,0.7175,0.7204,22050.0
200,0.7193,0.7206,0.719,0.72,24144.0
201,0.719,0.7214,0.7189,0.7199,7930.0
202,0.7202,0.7208,0.7183,0.7183,23489.0
203,0.7186,0.7193,0.7154,0.7172,45905.0
204,0.7173,0.7189,0.7169,0.7189,9596.0
205,0.7193,0.7203,0.7177,0.7193,4727.0
206,0.7193,0.7204,0.7182,0.7204,44481.0
207,0.7204,0.7226,0.7198,0.7198,26096.0
208,0.7202,0.7227,0.7201,0.7221,24491.0
209,0.7221,0.7229,0.7216,0.7224,7767.0
210,0.7221,0.7293,0.722,0.7272,28136.0
211,0.7271,0.7283,0.725,0.7261,17741.0
212,0.7254,0.7254,0.7225,0.7232,21315.0
213,0.7226,0.7243,0.7222,0.7225,11959.0
214,0.7225,0.725,0.7221,0.7242,14465.0
215,0.725,0.7316,0.725,0.7292,23837.0
216,0.7293,0.7293,0.7238,0.7239,19220.0
217,0.7245,0.7247,0.7222,0.7222,28739.0
218,0.7229,0.7243,0.7214,0.7214,15890.0
219,0.7223,0.7231,0.721,0.7231,13578.0
220,0.7228,0.723,0.7196,0.721,22344.0
221,0.7212,0.7233,0.7212,0.7229,8080.0
222,0.7229,0.7251,0.7229,0.7232,21855.0
223,0.7228,0.7258,0.7223,0.7253,35510.0
224,0.7252,0.7277,0.725,0.7254,12681.0
225,0.7259,0.7263,0.7247,0.7253,11061.0
226,0.7245,0.7265,0.7229,0.7255,28342.0
227,0.7266,0.7288,0.7257,0.7268,25037.0
228,0.7268,0.7297,0.7261,0.7282,23367.0
229,0.7275,0.7281,0.7247,0.725,15807.0
230,0.7257,0.7257,0.7229,0.7234,25967.0
231,0.7226,0.7239,0.722,0.7239,23377.0
232,0.7232,0.7244,0.7223,0.723,27459.0
233,0.7233,0.7243,0.7225,0.7239,12520.0
234,0.7232,0.7246,0.7231,0.7236,18258.0
235,0.7236,0.7236,0.7171,0.7171,27906.0
236,0.717,0.717,0.7129,0.7135,12026.0
237,0.7136,0.7143,0.712,0.712,16708.0
238,0.7129,0.715,0.7129,0.7141,22612.0
239,0.7146,0.7154,0.7125,0.7131,16149.0
240,0.7121,0.7124,0.7101,0.7108,11958.0
241,0.7103,0.7118,0.7103,0.7116,4306.0
242,0.7116,0.7118,0.7098,0.7104,12091.0
243,0.7105,0.7112,0.7042,0.706,70395.0
244,0.7059,0.7074,0.7048,0.7062,27989.0
245,0.7069,0.7086,0.7065,0.7075,18753.0
246,0.7075,0.7091,0.7075,0.7083,16979.0
247,0.7082,0.7088,0.7071,0.7079,12660.0
248,0.7078,0.7088,0.706,0.708,32895.0
249,0.7075,0.7088,0.7069,0.708,14970.0
250,0.7084,0.7089,0.7066,0.7077,8050.0
251,0.7078,0.7108,0.7078,0.7095,16600.0
252,0.71,0.71,0.7091,0.7095,3138.0
253,0.7095,0.7122,0.7092,0.7102,23215.0
254,0.7101,0.7106,0.7079,0.7087,11141.0
255,0.7087,0.7122,0.7083,0.7118,19312.0
256,0.7125,0.7176,0.7114,0.7176,27078.0
257,0.7176,0.7191,0.715,0.715,20418.0
258,0.7157,0.7162,0.7135,0.7135,100484.0
259,0.7134,0.7161,0.7126,0.7161,147191.0
260,0.716,0.7182,0.7137,0.7137,45717.0
261,0.7136,0.7145,0.712,0.7138,16564.0
