,OPEN,HIGH,LOW,CLOSE,VOLUME
0,0.604,0.607,0.604,0.606,100435.1
1,0.606,0.607,0.604,0.606,77231.0
2,0.606,0.608,0.605,0.607,43793.6
3,0.607,0.608,0.604,0.604,83444.3
4,0.604,0.605,0.602,0.603,74814.4
5,0.603,0.603,0.6,0.6,222720.1
6,0.601,0.602,0.599,0.6,195022.6
7,0.6,0.602,0.599,0.602,62120.3
8,0.601,0.602,0.599,0.599,214818.2
9,0.599,0.6,0.597,0.598,274459.7
10,0.598,0.601,0.598,0.6,105668.1
11,0.599,0.6,0.597,0.598,95151.7
12,0.598,0.598,0.596,0.597,145886.2
13,0.597,0.599,0.596,0.599,180669.1
14,0.599,0.6,0.595,0.595,86296.2
15,0.595,0.596,0.59,0.592,570335.8
16,0.592,0.595,0.592,0.594,153151.7
17,0.594,0.595,0.589,0.593,754832.6
18,0.594,0.597,0.593,0.594,329466.2
19,0.594,0.596,0.592,0.594,118853.4
20,0.594,0.596,0.594,0.595,92844.6
21,0.595,0.595,0.591,0.592,35051.7
22,0.592,0.593,0.59,0.592,127947.2
23,0.591,0.592,0.588,0.591,258573.0
24,0.59,0.598,0.588,0.596,451145.4
25,0.596,0.596,0.592,0.593,110173.9
26,0.594,0.595,0.593,0.594,45945.0
27,0.594,0.596,0.591,0.592,84851.3
28,0.591,0.593,0.591,0.591,125737.9
29,0.591,0.592,0.587,0.587,120668.6
30,0.588,0.591,0.588,0.589,135072.7
31,0.589,0.592,0.588,0.591,87766.6
32,0.592,0.592,0.59,0.59,30267.0
33,0.591,0.599,0.589,0.595,485155.6
34,0.596,0.596,0.591,0.591,119491.1
35,0.592,0.593,0.591,0.593,44557.3
36,0.593,0.599,0.593,0.599,142294.5
37,0.599,0.603,0.598,0.603,263946.7
38,0.602,0.603,0.599,0.601,234391.7
39,0.601,0.602,0.596,0.597,299270.4
40,0.598,0.601,0.597,0.599,219082.8
41,0.6,0.6,0.598,0.6,81804.9
42,0.6,0.603,0.598,0.602,115208.7
43,0.602,0.603,0.598,0.6,141061.7
44,0.599,0.599,0.595,0.596,186704.5
45,0.596,0.599,0.595,0.597,74617.3
46,0.597,0.598,0.596,0.597,16693.0
47,0.596,0.599,0.596,0.598,63437.8
48,0.598,0.601,0.598,0.6,169129.7
49,0.6,0.6,0.595,0.597,96851.0
50,0.597,0.598,0.595,0.597,52502.6
51,0.597,0.602,0.597,0.602,132232.1
52,0.602,0.603,0.601,0.602,115337.2
53,0.601,0.607,0.601,0.607,117506.2
54,0.607,0.611,0.606,0.61,189165.9
55,0.611,0.611,0.608,0.609,141460.9
56,0.61,0.613,0.61,0.612,188596.6
57,0.612,0.612,0.609,0.611,135456.9
58,0.612,0.617,0.61,0.615,341015.8
59,0.614,0.617,0.611,0.614,82125.2
60,0.614,0.614,0.61,0.612,148267.7
