,OPEN,HIGH,LOW,CLOSE,VOLUME
0,44.29,44.59,44.29,44.48,4631.39
1,44.47,44.52,44.27,44.29,4366.88
2,44.29,44.45,44.26,44.38,3248.81
3,44.36,44.41,44.22,44.38,4344.87
4,44.4,44.44,44.18,44.18,3409.4
5,44.2,44.2,43.8,43.84,8762.51
6,43.84,43.98,43.75,43.86,12634.84
7,43.86,44.03,43.84,44.03,4905.41
8,44.02,44.05,43.83,43.87,4880.77
9,43.86,43.87,43.66,43.82,4193.42
10,43.82,44.0,43.79,43.94,10809.01
11,43.96,44.08,43.92,44.06,5119.12
12,44.06,44.08,43.87,43.91,3591.21
13,43.93,44.1,43.9,44.03,3597.69
14,44.03,44.13,43.73,43.74,3935.68
15,43.75,43.82,43.62,43.66,2689.84
16,43.67,43.71,43.57,43.66,6157.43
17,43.66,44.06,43.66,44.03,5533.42
18,44.03,44.26,44.03,44.1,3514.99
19,44.09,44.2,44.0,44.01,4161.76
20,44.02,44.04,43.93,44.01,2967.61
21,44.01,44.01,43.7,43.75,4066.32
22,43.76,43.8,43.61,43.73,4666.3
23,43.73,43.73,43.32,43.52,7841.33
24,43.52,43.87,43.4,43.79,6517.93
25,43.79,43.83,43.52,43.67,3180.56
26,43.67,43.83,43.66,43.8,3272.07
27,43.79,43.91,43.7,43.7,3120.93
28,43.69,43.89,43.69,43.78,3108.58
29,43.79,43.8,43.51,43.53,4216.65
30,43.54,43.78,43.51,43.52,3400.79
31,43.5,43.84,43.48,43.82,4545.72
32,43.83,43.97,43.79,43.91,4132.62
33,43.92,44.39,43.8,44.22,7182.9
34,44.22,44.29,43.75,43.76,6725.26
35,43.75,43.9,43.72,43.87,2325.69
36,43.88,44.25,43.88,44.23,5436.04
37,44.22,44.57,44.19,44.55,2711.28
38,44.55,44.56,44.3,44.46,6219.99
39,44.46,44.51,44.06,44.13,3964.38
40,44.14,44.48,44.14,44.38,4286.03
41,44.37,44.38,44.19,44.32,2104.85
42,44.29,44.5,44.18,44.43,2040.01
43,44.43,44.43,44.04,44.11,3134.1
44,44.11,44.13,43.67,43.8,4634.83
45,43.79,44.04,43.75,43.96,2054.36
46,43.97,44.04,43.86,43.9,1980.79
47,43.92,43.97,43.83,43.84,1653.2
48,43.86,44.0,43.85,43.98,2967.77
49,43.96,43.99,43.78,43.86,2593.29
50,43.87,44.13,43.82,44.1,2436.76
51,44.09,44.32,44.09,44.26,2433.02
52,44.26,44.37,44.22,44.33,11371.56
53,44.34,44.6,44.27,44.6,4080.41
54,44.58,44.97,44.58,44.94,4973.52
55,44.94,45.3,44.94,45.15,7373.35
56,45.15,45.42,45.14,45.26,4826.86
57,45.24,45.33,45.06,45.29,3662.71
58,45.29,45.56,45.2,45.48,5340.85
59,45.48,45.56,45.1,45.24,5425.13
60,45.24,45.25,44.96,45.07,5037.9
61,45.07,45.09,44.86,44.94,2423.1
62,44.94,44.94,44.62,44.71,4110.56
63,44.68,45.17,44.67,45.09,3025.68
64,45.1,45.1,44.7,44.73,3413.51
65,44.72,45.35,44.72,45.29,6654.22
66,45.28,45.3,45.01,45.01,3331.28
67,45.01,45.06,44.92,44.96,2172.92
68,44.95,45.05,44.86,44.94,2921.95
69,44.94,45.01,44.63,44.65,3304.97
70,44.65,44.72,44.33,44.41,4227.47
71,44.41,44.5,44.28,44.37,7955.44
72,44.38,44.68,44.35,44.61,2824.15
73,44.61,44.72,44.35,44.38,6605.76
74,44.37,44.53,44.33,44.5,2126.72
75,44.52,44.76,44.46,44.76,2092.92
76,44.77,44.89,44.2,44.21,8684.95
77,44.22,44.58,44.21,44.55,5192.27
78,44.54,44.78,44.46,44.52,2309.58
79,44.54,44.54,44.0,44.15,10446.38
80,44.16,44.35,44.16,44.31,3584.79
81,44.32,44.53,44.29,44.5,3696.86
82,44.5,44.62,44.42,44.51,3321.42
83,44.5,44.9,44.5,44.88,5127.34
84,44.88,45.08,44.84,45.01,2299.38
85,45.0,45.04,44.74,44.74,1182.89
86,44.75,44.84,44.55,44.83,1983.68
87,44.81,44.86,44.7,44.82,2178.05
88,44.85,45.04,44.83,44.92,2642.34
89,44.93,45.12,44.82,45.04,2525.74
90,45.03,45.03,44.74,44.74,3003.75
91,44.74,44.86,44.68,44.86,2532.72
92,44.87,44.91,44.63,44.63,2929.84
93,44.65,44.95,44.5,44.78,6856.61
94,44.79,44.87,44.35,44.36,5553.99
95,44.35,44.43,44.25,44.27,4990.74
96,44.29,44.51,44.29,44.44,4128.24
97,44.44,44.53,44.41,44.41,1415.79
98,44.41,44.62,44.26,44.61,1553.34
99,44.6,44.64,44.33,44.39,1366.6
100,44.39,44.44,44.0,44.03,2417.98
101,44.03,44.13,43.96,44.05,2108.79
102,44.03,44.25,44.0,44.14,3450.28
103,44.13,44.14,43.94,43.98,1699.57
104,43.97,44.07,43.95,43.97,1990.14
105,43.99,44.15,43.87,43.93,6955.27
106,43.91,44.0,43.82,44.0,3881.0
107,44.0,44.22,43.97,44.09,2643.65
108,44.09,44.43,44.09,44.35,2317.91
109,44.36,44.38,44.12,44.13,5638.92
110,44.12,44.14,44.04,44.12,1328.94
111,44.13,44.46,44.1,44.32,5240.39
112,44.33,44.65,44.33,44.52,3274.16
113,44.51,44.63,44.36,44.37,3689.66
114,44.35,44.47,44.23,44.36,2961.63
115,44.38,44.53,44.36,44.52,1320.68
116,44.52,44.81,44.48,44.77,3285.47
117,44.78,44.94,44.7,44.83,9964.96
118,44.81,44.82,44.65,44.74,2044.61
119,44.76,44.81,44.54,44.75,4922.51
120,44.75,44.78,44.57,44.69,3442.81
121,44.68,44.71,44.41,44.51,3678.76
122,44.51,44.84,44.46,44.84,2621.02
123,44.82,44.82,44.64,44.71,2394.47
124,44.69,44.74,44.52,44.53,1671.62
125,44.52,44.69,44.44,44.69,4767.32
126,44.68,44.87,44.44,44.5,4307.9
127,44.5,44.56,44.3,44.38,3016.66
128,44.38,44.54,44.26,44.49,1520.19
129,44.5,44.6,44.47,44.49,2129.16
130,44.49,44.66,44.4,44.6,2245.32
131,44.62,44.73,44.58,44.72,2727.66
132,44.74,44.92,44.74,44.88,3797.19
133,44.89,44.99,44.82,44.94,3533.02
134,44.97,45.27,44.81,44.85,5956.36
135,44.83,44.9,44.71,44.77,4192.33
136,44.77,45.05,44.71,45.0,2281.53
137,45.01,45.03,44.77,44.92,5180.41
138,44.9,45.11,44.83,45.05,2874.6
139,45.05,45.14,44.93,45.05,2073.93
140,45.03,45.29,45.03,45.07,8073.59
141,45.06,45.08,44.94,45.08,2205.73
142,45.08,45.09,44.87,44.87,2013.86
143,44.88,44.88,44.71,44.72,3193.33
144,44.71,44.71,44.49,44.57,3753.52
145,44.58,44.67,44.5,44.55,2417.44
146,44.53,44.8,44.5,44.72,2197.64
147,44.72,44.86,44.57,44.59,2812.28
148,44.58,44.62,44.21,44.23,14314.84
149,44.21,44.4,44.15,44.35,4159.44
150,44.35,44.38,44.18,44.33,2730.38
151,44.33,44.39,44.25,44.36,1417.78
152,44.36,44.38,44.28,44.33,813.77
153,44.33,44.33,44.12,44.13,5335.31
154,44.14,44.23,44.06,44.13,1940.73
155,44.13,44.2,44.05,44.12,1205.27
156,44.13,44.18,44.0,44.04,3632.22
157,44.05,44.13,43.86,43.9,3042.35
158,43.91,44.02,43.85,43.98,1603.44
159,43.97,44.05,43.85,43.85,1460.21
160,43.86,43.92,43.68,43.71,1825.41
161,43.72,43.88,43.71,43.84,1793.33
162,43.83,43.89,43.71,43.73,1448.12
163,43.74,43.83,43.66,43.74,1234.19
